;Select one;;
United States;Camden;Woodward Field;CDN
United States;Camp Douglas;Volk Field;VOK
United States;Camp Springs;Joint Base Andrews;ADW
United States;Cape Girardeau;Cape Girardeau Regional Airport;CGI
United States;Cape Lisburne;Cape Lisburne LRRS Airport;LUR
United States;Cape Newenham;Cape Newenham LRRS Airport;EHM
United States;Cape Romanzof;Cape Romanzof LRRS Airport;CZF
United States;Carbondale/Murphysboro;Southern Illinois Airport;MDH
United States;Caribou;Caribou Municipal Airport;CAR
United States;Carlsbad;Cavern City Air Terminal;CNM
United States;Carlsbad;Mc Clellan-Palomar Airport;CLD
United States;Casa Grande;Casa Grande Municipal Airport;CGZ
United States;Casper;Casper-Natrona County International Airport;CPR
United States;Catalina Island;Catalina Airport;AVX
United States;Cedar City;Cedar City Regional Airport;CDC
United States;Cedar Rapids;The Eastern Iowa Airport;CID
United States;Central;Central Airport;CEM
United States;Chadron;Chadron Municipal Airport;CDR
United States;Chalkyitsik;Chalkyitsik Airport;CIK
United States;Champaign;University of Illinois Willard Airport;CMI
United States;Chanute;Chanute Martin Johnson Airport;CNU
United States;Charles City;Northeast Iowa Regional Airport;CCY
United States;Charleston;Charleston Air Force Base-International Airport;CHS
United States;Charleston;Yeager Airport;CRW
United States;Charlotte;Charlotte Douglas International Airport;CLT
United States;Charlottesville VA;Charlottesville Albemarle Airport;CHO
United States;Chattanooga;Lovell Field;CHA
United States;Chefornak;Chefornak Airport;CYF
United States;Chehalis;Chehalis Centralia Airport;CLS
United States;Chenega;Chenega Bay Airport;NCN
United States;Cheraw;Cheraw Municipal Airport/Lynch Bellinger Field;HCW
United States;Chevak;Chevak Airport;VAK
United States;Cheyenne;Cheyenne Regional Jerry Olson Field;CYS
United States;Chicago;Chicago Meigs Airport;CGX
United States;Chicago;Chicago Midway International Airport;MDW
United States;Chicago;Chicago O'Hare International Airport;ORD
United States;Chicago;Waukegan National Airport;UGN
United States;Chicago-Wheeling;Chicago Executive Airport;PWK
United States;Chico;Chico Municipal Airport;CIC
United States;Chicopee Falls;Westover ARB/Metropolitan Airport;CEF
United States;Childress;Childress Municipal Airport;CDS
United States;Chino;Chino Airport;CNO
United States;Chuathbaluk;Chuathbaluk Airport;CHU
United States;Cincinnati;Cincinnati Municipal Airport Lunken Field;LUK
United States;Cincinnati;Cincinnati Northern Kentucky International Airport;CVG
United States;Circle;Circle City /New/ Airport;IRC
United States;Clarks Point;Clarks Point Airport;CLP
United States;Clarksburg;North Central West Virginia Airport;CKB
United States;Clarksville;Clarksville–Montgomery County Regional Airport;CKV
United States;Clearwater;Clearwater Air Park;CLW
United States;Clemson;Oconee County Regional Airport;CEU
United States;Cleveland;Burke Lakefront Airport;BKL
United States;Cleveland;Cleveland Hopkins International Airport;CLE
United States;Cleveland;Hardwick Field;HDI
United States;Clinton;Clinton Municipal Airport;CWI
United States;Clinton;Clinton Sherman Airport;CSM
United States;Clovis;Cannon Air Force Base;CVS
United States;Clovis;Clovis Municipal Airport;CVN
United States;Coatesville;Chester County G O Carlson Airport;CTH
United States;Coco Beach;Patrick Air Force Base;COF
United States;Cody;Yellowstone Regional Airport;COD
United States;Coeur d'Alene;Coeur D'Alene - Pappy Boyington Field;COE
United States;Coffeyville;Coffeyville Municipal Airport;CFV
United States;Cold Bay;Cold Bay Airport;CDB
United States;Cold Bay;Port Moller Airport;PML
United States;College Station;Easterwood Field;CLL
United States;Colombus;Columbus Air Force Base;CBM
United States;Colorado Springs;City of Colorado Springs Municipal Airport;COS
United States;Columbia;Columbia Metropolitan Airport;CAE
United States;Columbia;Columbia Regional Airport;COU
United States;Columbia;Jim Hamilton L.B. Owens Airport;CUB
United States;Columbus;Columbus Metropolitan Airport;CSG
United States;Columbus;Columbus Municipal Airport;CLU
United States;Columbus;John Glenn Columbus International Airport;CMH
United States;Columbus;Rickenbacker International Airport;LCK
United States;Columbus;Taszár Air Base;TZR
United States;Columbus;The Ohio State University Airport - Don Scott Field;OSU
United States;Columbus Mississippi;Golden Triangle Regional Airport;GTR
United States;Concord;Buchanan Field;CCR
United States;Concord;Concord-Padgett Regional Airport;USA
United States;Concord NH;Concord Municipal Airport;CON
United States;Conroe;Conroe-North Houston Regional Airport;CXO
United States;Cordova;Merle K (Mudhole) Smith Airport;CDV
United States;Corpus Christi;Corpus Christi International Airport;CRP
United States;Cortez;Cortez Municipal Airport;CEZ
United States;Corvallis;Corvallis Municipal Airport;CVO
United States;Cotulla;Cotulla-La Salle County Airport;COT
United States;Council Bluffs;Council Bluffs Municipal Airport;CBF
United States;Crescent City;Jack Mc Namara Field Airport;CEC
United States;Crestview;Bob Sikes Airport;CEW
United States;Crestview;Duke Field;EGI
United States;Cross City;Cross City Airport;CTY
United States;Crossville;Crossville Memorial Whitson Field;CSV
United States;Cumberland;Greater Cumberland Regional Airport;CBE
United States;Cushing;Cushing Municipal Airport;CUH
United States;Cutbank;Cut Bank International Airport;CTB
United States;Daggett;Barstow Daggett Airport;DAG
United States;Dalhart;Dalhart Municipal Airport;DHT
United States;Dallas;Dallas Executive Airport;RBD
United States;Dallas;Dallas Love Field;DAL
United States;Dallas;NAS Fort Worth JRB/Carswell Field;FWH
United States;Dallas-Fort Worth;Dallas Fort Worth International Airport;DFW
United States;Dalton;Dalton Municipal Airport;DNN
United States;Danbury;Danbury Municipal Airport;DXR
United States;Danville;Danville Regional Airport;DAN
United States;Danville;Vermilion Regional Airport;DNV
United States;Dayton;Dayton-Wright Brothers Airport;MGY
United States;Dayton;James M Cox Dayton International Airport;DAY
United States;Dayton;Wright-Patterson Air Force Base;FFO
United States;Daytona Beach;Daytona Beach International Airport;DAB
United States;Deadhorse;Deadhorse Airport;SCC
United States;Decatur;Decatur Airport;DEC
United States;Decatur;Pryor Field Regional Airport;DCU
United States;Deering;Deering Airport;DRG
United States;Del Rio;Del Rio International Airport;DRT
United States;Del Rio;DLF Airport;DLF
United States;Delta;Delta Municipal Airport;DTA
United States;Delta Junction;Allen Army Airfield;BIG
United States;Deming;Deming Municipal Airport;DMN
United States;Denver;Centennial Airport;APA
United States;Denver;Denver International Airport;DEN
United States;Deridder;Beauregard Regional Airport;DRI
United States;Des Moines;Des Moines International Airport;DSM
United States;Destin;Destin Executive Airport;DSI
United States;Detroit;Coleman A. Young Municipal Airport;DET
United States;Detroit;Detroit Metropolitan Wayne County Airport;DTW
United States;Detroit;Willow Run Airport;YIP
United States;Devils Lake;Devils Lake Regional Airport;DVL
United States;Dickinson;Dickinson Theodore Roosevelt Regional Airport;DIK
United States;Dillingham;Dillingham Airfield;HDH
United States;Dillingham;Dillingham Airport;DLG
United States;Dodge City;Dodge City Regional Airport;DDC
United States;Dothan;Dothan Regional Airport;DHN
United States;Douglas;Bisbee Douglas International Airport;DUG
United States;Douglas;Douglas Municipal Airport;DGL
United States;Dover;Dover Air Force Base;DOV
United States;Doylestown;Doylestown Airport;DYL
United States;Drummond Island;Drummond Island Airport;DRE
United States;Du Bois;DuBois Regional Airport;DUJ
United States;Dublin;W H 'Bud' Barron Airport;DBN
United States;Dubuque IA;Dubuque Regional Airport;DBQ
United States;Duluth;Duluth International Airport;DLH
United States;Duncan;Halliburton Field;DUC
United States;Dunkirk;Chautauqua County-Dunkirk Airport;DKK
United States;Durango;Durango La Plata County Airport;DRO
United States;Eagle;Eagle Airport;EAA
United States;Eagle River;Eagle River Union Airport;EGV
United States;East Tawas;Iosco County Airport;ECA
United States;Easton;Easton Newnam Field;ESN
United States;Eastover;Mc Entire Joint National Guard Base;MMT
United States;Eastsound;Orcas Island Airport;ESD
United States;Eau Claire;Chippewa Valley Regional Airport;EAU
United States;Eden Prairie;Flying Cloud Airport;FCM
United States;Edwards Afb;Edwards Air Force Base;EDW
United States;Eek;Eek Airport;EEK
United States;Egegik;Egegik Airport;EGX
United States;El Cajon;Gillespie Field;SEE
United States;El Centro;El Centro NAF Airport (Vraciu Field);NJK
United States;El Dorado;South Arkansas Regional At Goodwin Field;ELD
United States;El Monte;San Gabriel Valley Airport;EMT
United States;El Paso;Biggs Army Air Field (Fort Bliss);BIF
United States;El Paso;El Paso International Airport;ELP
United States;Elfin Cove;Elfin Cove Seaplane Base;ELV
United States;Elim;Elim Airport;ELI
United States;Elizabeth City;Elizabeth City Regional Airport & Coast Guard Air Station;ECG
United States;Elkhart;Elkhart Municipal Airport;EKI
United States;Elkins;Elkins-Randolph Co-Jennings Randolph Field;EKN
United States;Elko;Elko Regional Airport;EKO
United States;Elmira;Elmira Corning Regional Airport;ELM
United States;Ely;Ely Airport Yelland Field;ELY
United States;Ely;Ely Municipal Airport;LYU
United States;Emmonak;Emmonak Airport;EMK
United States;Enid;Vance Air Force Base;END
United States;Enterprise;Enterprise Municipal Airport;ETS
United States;Erie;Erie International Tom Ridge Field;ERI
United States;Escanaba;Delta County Airport;ESC
United States;Eufala;Weedon Field;EUF
United States;Eugene;Mahlon Sweet Field;EUG
United States;Eureka;Murray Field;EKA
United States;Evanston;Evanston-Uinta County Airport-Burns Field;EVW
United States;Evansville;Evansville Regional Airport;EVV
United States;Everett;Snohomish County (Paine Field) Airport;PAE
United States;Fairbanks;Eielson Air Force Base;EIL
United States;Fairbanks;Fairbanks International Airport;FAI
United States;Fairfield;Travis Air Force Base;SUU
United States;Fallon;Fallon Naval Air Station;NFL
United States;Falmouth;Cape Cod Coast Guard Air Station;FMH
United States;False Pass;False Pass Airport;KFP
United States;Fargo;Hector International Airport;FAR
United States;Farmingdale;Republic Airport;FRG
United States;Farmington;Four Corners Regional Airport;FMN
United States;Fayetteville;Drake Field;FYV
United States;Fayetteville;Fayetteville Regional Grannis Field;FAY
United States;Findley;Findlay Airport;FDY
United States;Flagstaff;Flagstaff Pulliam Airport;FLG
United States;Flint;Bishop International Airport;FNT
United States;Flippin;Marion County Regional Airport;FLP
United States;Florence;Florence Regional Airport;FLO
United States;Fond du Lac;Fond du Lac County Airport;FLD
United States;Fort Belvoir;Davison Army Air Field;DAA
United States;Fort Benning;Lawson Army Air Field (Fort Benning);LSF
United States;Fort Bragg;Pope Field;POB
United States;Fort Bridger;Fort Bridger Airport;FBR
United States;Fort Carson;Butts AAF (Fort Carson) Air Field;FCS
United States;Fort Collins;Northern Colorado Regional Airport;FNL
United States;Fort Dodge;Fort Dodge Regional Airport;FOD
United States;Fort Eustis;Felker Army Air Field;FAF
United States;Fort Hood;Hood Army Air Field;HLR
United States;Fort Huachuca;Sierra Vista Municipal Libby Army Air Field;FHU
United States;Fort Irwin;Bicycle Lake Army Air Field;BYS
United States;Fort Knox;Godman Army Air Field;FTK
United States;Fort Lauderdale;Fort Lauderdale Executive Airport;FXE
United States;Fort Lauderdale;Fort Lauderdale Hollywood International Airport;FLL
United States;Fort Leavenworth;Sherman Army Air Field;FLV
United States;Fort Leonardwood;Waynesville-St. Robert Regional Forney field;TBN
United States;Fort Lewis;Gray Army Air Field;GRF
United States;Fort Meade;Tipton Airport;FME
United States;Fort Myers;Page Field;FMY
United States;Fort Myers;Southwest Florida International Airport;RSW
United States;Fort Ord;Marina Municipal Airport;OAR
United States;Fort Pierce;St Lucie County International Airport;FPR
United States;Fort Polk;Polk Army Air Field;POE
United States;Fort Richardson;Bryant Army Heliport;FRN
United States;Fort Riley;Marshall Army Air Field;FRI
United States;Fort Rucker/Ozark;Cairns AAF (Fort Rucker) Air Field;OZR
United States;Fort Sill;Henry Post Army Air Field (Fort Sill);FSI
United States;Fort Smith;Fort Smith Regional Airport;FSM
United States;Fort Stockton;Fort Stockton Pecos County Airport;FST
United States;Fort Wainwright;Ladd AAF Airfield;FBK
United States;Fort Wayne;Fort Wayne International Airport;FWA
United States;Fort Wayne IN;Smith Field;SMD
United States;Fort Worth;Fort Worth Alliance Airport;AFW
United States;Fort Worth;Fort Worth Meacham International Airport;FTW
United States;Fort Yukon;Fort Yukon Airport;FYU
United States;Frankfort;Capital City Airport;FFT
United States;Franklin;Venango Regional Airport;FKL
United States;Fredericksburg;Simmons Army Air Field;FBG
United States;Fremont;Fremont Municipal Airport;FET
United States;Frenchville;Northern Aroostook Regional Airport;WFK
United States;Fresno;Fresno Yosemite International Airport;FAT
United States;Friday Harbor;Friday Harbor Airport;FRD
United States;Fryeburg;Eastern Slopes Regional Airport;FRY
United States;Fullerton;Fullerton Municipal Airport;FUL
United States;Funter Bay;Funter Bay Seaplane Base;FNR
United States;Gadsden;Northeast Alabama Regional Airport;GAD
United States;Gainesville;Gainesville Regional Airport;GNV
United States;Gainesville;Lee Gilmer Memorial Airport;GVL
United States;Gaithersburg;Montgomery County Airpark;GAI
United States;Galena;Edward G. Pitka Sr Airport;GAL
United States;Galesburg;Galesburg Municipal Airport;GBG
United States;Galion;Galion Municipal Airport;GQQ
United States;Gallup;Gallup Municipal Airport;GUP
United States;Galveston;Scholes International At Galveston Airport;GLS
United States;Gambell;Gambell Airport;GAM
United States;Garden City;Garden City Regional Airport;GCK
United States;Gary;Gary Chicago International Airport;GYY
United States;GAYLORD;Gaylord Regional Airport;GLR
United States;Georgetown;Georgetown County Airport;GGE
United States;Georgetown;Sussex County Airport;GED
United States;Gillette;Gillette Campbell County Airport;GCC
United States;Gladwin;Gladwin Zettel Memorial Airport;GDW
United States;Glasgow;Glasgow Municipal Airport;GLW
United States;Glasgow;Wokal Field Glasgow International Airport;GGW
United States;Glendive;Dawson Community Airport;GDV
United States;Goldsboro;Seymour Johnson Air Force Base;GSB
United States;Golovin;Golovin Airport;GLV
United States;Goodland;Renner Field-Goodland Municipal Airport;GLD
United States;Goodyear;Phoenix Goodyear Airport;GYR
United States;Grand Canyon;Grand Canyon National Park Airport;GCN
United States;Grand Forks;Grand Forks International Airport;GFK
United States;Grand Island;Central Nebraska Regional Airport;GRI
United States;Grand Junction;Grand Junction Regional Airport;GJT
United States;Grand Marais;Grand Marais Cook County Airport;GRM
United States;Grand Rapids;Gerald R. Ford International Airport;GRR
United States;Grand Rapids MN;Grand Rapids Itasca Co-Gordon Newstrom field;GPZ
United States;Grant County Airport;Grant County International Airport;MWH
United States;Grants;Grants-Milan Municipal Airport;GNT
United States;Great Bend;Great Bend Municipal Airport;GBD
United States;Great Falls;Great Falls International Airport;GTF
United States;Greeley;Greeley–Weld County Airport;GXY
United States;Green Bay;Austin Straubel International Airport;GRB
United States;Greensboro;Piedmont Triad International Airport;GSO
United States;Greenvile;Majors Airport;GVT
United States;Greenville;Donaldson Field Airport;GDC
United States;Greenville;Greenville Downtown Airport;GMU
United States;Greenville;Greenville Spartanburg International Airport;GSP
United States;Greenville;Mid Delta Regional Airport;GLH
United States;Greenville;Pitt Greenville Airport;PGV
United States;Greenwood;Greenwood–Leflore Airport;GWO
United States;Groton CT;Groton New London Airport;GON
United States;Gulf Shores;Jack Edwards Airport;GUF
United States;Gulfport;Gulfport Biloxi International Airport;GPT
United States;Gulkana;Gulkana Airport;GKN
United States;Gunnison;Gunnison Crested Butte Regional Airport;GUC
United States;Gustavus;Gustavus Airport;GST
United States;Guymon;Guymon Municipal Airport;GUY
United States;Gwinn;Sawyer International Airport;MQT
United States;Hagerstown;Hagerstown Regional Richard A Henson Field;HGR
United States;Hailey;Friedman Memorial Airport;SUN
United States;Haines;Haines Airport;HNS
United States;Half Moon Bay;Half Moon Bay Airport;HAF
United States;Hamilton;Butler Co Regional Airport - Hogan Field;HAO
United States;Hampton;Langley Air Force Base;LFI
United States;Hana;Hana Airport;HNM
United States;Hancock;Houghton County Memorial Airport;CMX
United States;Harlingen;Valley International Airport;HRL
United States;Harrisburg;Capital City Airport;HAR
United States;Harrisburg;Harrisburg International Airport;MDT
United States;Harrison;Boone County Airport;HRO
United States;Hartford;Hartford Brainard Airport;HFD
United States;Hartsville;Hartsville Regional Airport;HVS
United States;Hattiesburg;Hattiesburg Bobby L Chain Municipal Airport;HBG
United States;Hattiesburg/Laurel;Hattiesburg Laurel Regional Airport;PIB
United States;Havre;Havre City County Airport;HVR
United States;Hawthorne;Jack Northrop Field Hawthorne Municipal Airport;HHR
United States;Hayden;Yampa Valley Airport;HDN
United States;Hays;Hays Regional Airport;HYS
United States;Hayward;Hayward Executive Airport;HWD
United States;Hayward;Sawyer County Airport;HYR
United States;Hazleton;Hazleton Municipal Airport;HZL
United States;Helena;Helena Regional Airport;HLN
United States;Henderson;Henderson Executive Airport;HSH
United States;Hibbing;Range Regional Airport;HIB
United States;Hickory;Hickory Regional Airport;HKY
United States;Hillsboro;Portland Hillsboro Airport;HIO
United States;Hilo;Hilo International Airport;ITO
United States;Hilton Head Island;Hilton Head Airport;HHH
United States;Hobart;Hobart Regional Airport;HBR
United States;Hobbs;Lea County Regional Airport;HOB
United States;Holdredge;Brewster Field;HDE
United States;Hollister;Hollister Municipal Airport;HLI
United States;Hollywood;North Perry Airport;HWO
United States;Holy Cross;Holy Cross Airport;HCR
United States;Homer;Homer Airport;HOM
United States;Homestead;Homestead ARB Airport;HST
United States;Honolulu;Daniel K Inouye International Airport;HNL
United States;Hoonah;Hoonah Airport;HNH
United States;Hooper Bay;Hooper Bay Airport;HPB
United States;Hopkinsville;Campbell AAF (Fort Campbell) Air Field;HOP
United States;Hoquiam;Bowerman Airport;HQM
United States;Hot Springs;Memorial Field;HOT
United States;Houghton Lake;Roscommon County - Blodgett Memorial Airport;HTL
United States;Houlton;Houlton International Airport;HUL
United States;Houston;Andrau Airpark;AAP
United States;Houston;David Wayne Hooks Memorial Airport;DWH
United States;Houston;Ellington Airport;EFD
United States;Houston;George Bush Intercontinental Houston Airport;IAH
United States;Houston;West Houston Airport;IWS
United States;Houston;William P Hobby Airport;HOU
United States;Hughes;Hughes Airport;HUS
United States;Hunter Aaf;Hunter Army Air Field;SVN
United States;Huntington;Tri-State/Milton J. Ferguson Field;HTS
United States;Huntsville;Huntsville International Carl T Jones Field;HSV
United States;Huntsville;Huntsville Regional Airport;HTV
United States;Huron;Huron Regional Airport;HON
United States;Huslia;Huslia Airport;HSL
United States;Hutchinson;Hutchinson Municipal Airport;HUT
United States;Hydaburg;Hydaburg Seaplane Base;HYG
United States;Idaho Falls;Idaho Falls Regional Airport;IDA
United States;Igiugig;Igiugig Airport;IGG
United States;Iliamna;Iliamna Airport;ILI
United States;Immokalee;Immokalee Regional Airport;IMM
United States;Imperial;Imperial County Airport;IPL
United States;Independence;Independence Municipal Airport;IDP
United States;Indian Mountains;Indian Mountain LRRS Airport;UTO
United States;Indian Springs;Creech Air Force Base;INS
United States;Indianapolis;Indianapolis International Airport;IND
United States;International Falls;Falls International Airport;INL
United States;Inyokern;Inyokern Airport;IYK
United States;Iowa City;Iowa City Municipal Airport;IOW
United States;Iraan;Iraan Municipal Airport;IRB
United States;Iron Mountain;Ford Airport;IMT
United States;Islip;Long Island Mac Arthur Airport;ISP
United States;Ithaca;Ithaca Tompkins Regional Airport;ITH
United States;Jacksn Hole;Jackson Hole Airport;JAC
United States;Jackson;Jackson County Reynolds Field;JXN
United States;Jackson;Jackson-Medgar Wiley Evers International Airport;JAN
United States;Jackson;McKellar-Sipes Regional Airport;MKL
United States;Jacksonville;Cecil Airport;VQQ
United States;Jacksonville;Jacksonville Executive at Craig Airport;CRG
United States;Jacksonville;Jacksonville International Airport;JAX
United States;Jacksonville;Jacksonville Naval Air Station (Towers Field);NIP
United States;Jacksonville;Little Rock Air Force Base;LRF
United States;Jacksonville NC;Albert J Ellis Airport;OAJ
United States;Jamestown;Chautauqua County-Jamestown Airport;JHW
United States;Jamestown;Jamestown Regional Airport;JMS
United States;Janesville;Southern Wisconsin Regional Airport;JVL
United States;Jasper;Jasper County Airport-Bell Field;JAS
United States;Jasper;Marion County Brown Field;APT
United States;Jefferson City;Jefferson City Memorial Airport;JEF
United States;Johnstown;John Murtha Johnstown Cambria County Airport;JST
United States;Joliet;Joliet Regional Airport;JOT
United States;Jonesboro;Jonesboro Municipal Airport;JBR
United States;Joplin;Joplin Regional Airport;JLN
United States;Junction;Kimble County Airport;JCT
United States;Juneau;Juneau International Airport;JNU
United States;Kahului;Kahului Airport;OGG
United States;Kaiser Lake Ozark;Lee C Fine Memorial Airport;AIZ
United States;Kalamazoo;Kalamazoo Battle Creek International Airport;AZO
United States;Kalispell;Glacier Park International Airport;FCA
United States;Kalskag;Kalskag Airport;KLG
United States;Kaltag;Kaltag Airport;KAL
United States;Kamuela;Waimea Kohala Airport;MUE
United States;Kaneohe Bay;Kaneohe Bay MCAS (Marion E. Carl Field) Airport;NGF
United States;Kankakee;Greater Kankakee Airport;IKK
United States;Kansas City;Charles B. Wheeler Downtown Airport;MKC
United States;Kansas City;Kansas City International Airport;MCI
United States;Kapolei;Kalaeloa Airport;JRF
United States;Karluk;Karluk Airport;KYK
United States;Kasigluk;Kasigluk Airport;KUK
United States;Keene;Dillant Hopkins Airport;EEN
United States;Kelso;Southwest Washington Regional Airport;KLS
United States;Kenai;Kenai Municipal Airport;ENA
United States;Kendall-tamiami;Kendall-Tamiami Executive Airport;TMB
United States;Kenosha;Kenosha Regional Airport;ENW
United States;Keokuk;Keokuk Municipal Airport;EOK
United States;Kerrville;Kerrville Municipal Louis Schreiner Field;ERV
United States;Ketchikan;Ketchikan International Airport;KTN
United States;Key West;Key West International Airport;EYW
United States;Key West;Naval Air Station Key West/Boca Chica Field;NQX
United States;Kiana;Bob Baker Memorial Airport;IAN
United States;Kill Devil Hills;First Flight Airport;FFA
United States;Killeen;Robert Gray  Army Air Field Airport;GRK
United States;King Cove;King Cove Airport;KVC
United States;King Salmon;King Salmon Airport;AKN
United States;Kingsville;Kingsville Naval Air Station;NQI
United States;Kinston;Kinston Regional Jetport At Stallings Field;ISO
United States;Kipnuk;Kipnuk Airport;KPN
United States;Kirksville;Kirksville Regional Airport;IRK
United States;Kissimmee;Kissimmee Gateway Airport;ISM
United States;Kivalina;Kivalina Airport;KVL
United States;Klamath Falls;Crater Lake-Klamath Regional Airport;LMT
United States;Klawock;Klawock Airport;KLW
United States;Knobnoster;Whiteman Air Force Base;SZL
United States;Knoxville;McGhee Tyson Airport;TYS
United States;Kobuk;Kobuk Airport;OBU
United States;Kodiak;Kodiak Airport;ADQ
United States;Kokomo;Kokomo Municipal Airport;OKK
United States;Koliganek;Koliganek Airport;KGK
United States;Kona;Ellison Onizuka Kona International At Keahole Airport;KOA
United States;Kongiganak;Kongiganak Airport;KKH
United States;Kotlik;Kotlik Airport;KOT
United States;Kotzebue;Ralph Wien Memorial Airport;OTZ
United States;Koyuk;Koyuk Alfred Adams Airport;KKA
United States;Koyukuk;Koyukuk Airport;KYU
United States;Kuparuk;Ugnu-Kuparuk Airport;UUK
United States;Kwethluk;Kwethluk Airport;KWT
United States;Kwigillingok;Kwigillingok Airport;KWK
United States;La Crosse;La Crosse Municipal Airport;LSE
United States;La Grande;La Grande/Union County Airport;LGD
United States;La Verne;Brackett Field;POC
United States;Lafayette;Lafayette Regional Airport;LFT
United States;Lafayette;Purdue University Airport;LAF
United States;LaGrange;LaGrange Callaway Airport;LGC
United States;Lahania-kapalua;Kapalua Airport;JHM
United States;Lake Charles;Lake Charles Regional Airport;LCH
United States;Lake City;Lake City Gateway Airport;LCQ
United States;Lake Havasu City;Lake Havasu City Airport;HII
United States;Lake Minchumina;Minchumina Airport;LMA
United States;Lake Placid;Lake Placid Airport;LKP
United States;Lakehurst;Lakehurst Maxfield Field Airport;NEL
United States;Lakeland;Lakeland Linder International Airport;LAL
United States;Lakeview;Lake County Airport;LKV
United States;Lamar;Lamar Municipal Airport;LAA
United States;Lanai;Lanai Airport;LNY
United States;Lancaster;General WM J Fox Airfield;WJF
United States;Lancaster;Lancaster Airport;LNS
United States;Lansing;Capital City Airport;LAN
United States;Laramie;Laramie Regional Airport;LAR
United States;Laredo;Laredo International Airport;LRD
United States;Larsen Bay;Larsen Bay Airport;KLN
United States;Las Cruces;Las Cruces International Airport;LRU
United States;Las Vegas;Las Vegas Municipal Airport;LVS
United States;Las Vegas;McCarran International Airport;LAS
United States;Las Vegas;Nellis Air Force Base;LSV
United States;Las Vegas;North Las Vegas Airport;VGT
United States;Latrobe;Arnold Palmer Regional Airport;LBE
United States;Lawrence;Lawrence Municipal Airport;LWM
United States;Lawrence;Lawrence Municipal Airport;LWC
United States;Lawrenceville;Gwinnett County Briscoe Field;LZU
United States;Lawton;Lawton Fort Sill Regional Airport;LAW
United States;Lebanon;Lebanon Municipal Airport;LEB
United States;Leesburg;Leesburg International Airport;LEE
United States;Lemoore;Lemoore Naval Air Station (Reeves Field) Airport;NLC
United States;Lewisburg;Greenbrier Valley Airport;LWB
United States;Lewiston;Auburn Lewiston Municipal Airport;LEW
United States;Lewiston;Lewiston Nez Perce County Airport;LWS
United States;Lewistown;Lewistown Municipal Airport;LWT
United States;Lexington;Jim Kelly Field;LXN
United States;Lexington KY;Blue Grass Airport;LEX
United States;Liberal;Liberal Mid-America Regional Airport;LBL
United States;Lihue;Lihue Airport;LIH
United States;Lima;Lima Allen County Airport;AOH
United States;Lincoln;Lincoln Airport;LNK
United States;Linden;Linden Airport;LDJ
United States;Little Rock;Bill & Hillary Clinton National Airport/Adams Field;LIT
United States;Livermore;Livermore Municipal Airport;LVK
United States;Livingston-Montana;Mission Field;LVM
United States;Lock Haven;William T. Piper Memorial Airport;LHV
United States;Lockport;Lewis University Airport;LOT
United States;Logan;Logan-Cache Airport;LGU
United States;Lompoc;Lompoc Airport;LPC
United States;Lompoc;Vandenberg Air Force Base;VBG
United States;London;London-Corbin Airport/Magee Field;LOZ
United States;Lone Rock;Tri-County Regional Airport;LNR
United States;Long Beach;Long Beach /Daugherty Field/ Airport;LGB
United States;Longview;East Texas Regional Airport;GGG
United States;Lopez;Lopez Island Airport;LPS
United States;Los Alamos;Los Alamos Airport;LAM
United States;Los Angeles;Los Angeles International Airport;LAX
United States;Los Angeles;Whiteman Airport;WHP
United States;Louisiana;Acadiana Regional Airport;ARA
United States;Louisville;Bowman Field;LOU
United States;Louisville;Louisville International Standiford Field;SDF
United States;Lovelock;Derby Field;LOL
United States;Lubbock;Lubbock Preston Smith International Airport;LBB
United States;Ludington;Mason County Airport;LDM
United States;Lufkin;Angelina County Airport;LFK
United States;Lumberton;Lumberton Regional Airport;LBT
United States;Lynchburg;Lynchburg Regional Preston Glenn Field;LYH
United States;Macon;Menominee Regional Airport;MNM
United States;Macon;Middle Georgia Regional Airport;MCN
United States;Macon;Robins Air Force Base;WRB
United States;Madera;Madera Municipal Airport;MAE
United States;Madison;Dane County Regional Truax Field;MSN
United States;Mammoth Lakes;Mammoth Yosemite Airport;MMH
United States;Manassas;Manassas Regional Airport/Harry P. Davis Field;MNZ
United States;Manchester NH;Manchester-Boston Regional Airport;MHT
United States;Manhattan;Manhattan Regional Airport;MHK
United States;Manistee;Manistee Co Blacker Airport;MBL
United States;Manley Hot Springs;Manley Hot Springs Airport;MLY
United States;Manokotak;Manokotak Airport;KMO
United States;Mansfield;Mansfield Lahm Regional Airport;MFD
United States;Manteo;Dare County Regional Airport;MEO
United States;Marana;Pinal Airpark;MZJ
United States;Marathon;The Florida Keys Marathon Airport;MTH
United States;Marco Island Airport;Marco Island Executive Airport;MRK
United States;Marfa;Marfa Municipal Airport;MRF
United States;Marietta;Dobbins Air Reserve Base;MGE
United States;Marion;Williamson County Regional Airport;MWA
United States;Mariposa;Mariposa Yosemite Airport;RMY
United States;Marshall;Marshall Don Hunter Sr Airport;MLL
United States;Marshfield;Marshfield Municipal Airport;MFI
United States;Martinsburg;Eastern WV Regional Airport/Shepherd Field;MRB
United States;Marysville;Beale Air Force Base;BAB
United States;Mason City;Mason City Municipal Airport;MCW
United States;Massena;Massena International Richards Field;MSS
United States;Mayport;Naval Station Mayport (Admiral David L. Mcdonald Field);NRB
United States;Mc Comb;Mc Comb/Pike County Airport/John E Lewis Field;MCB
United States;Mcalester;Mc Alester Regional Airport;MLC
